,0,1,2,3,4,5,6,7,8,9
0,1,"0131_[42912,16664]_part_2_-1.jpg","0131,[42912,16664]",CK,0.000653,0.028866,0.939602,0.000325,0.02038,0.972099
1,2,"0131_[42242,13869]_part_1_-1.jpg","0131,[42242,13869]",CK,0.00019,0.014383,0.975974,0.000128,0.011796,0.984911
2,3,"0131_[41114,18347]_part_2_-5.jpg","0131,[41114,18347]",CD8,0.000335,0.019394,0.96969,0.000224,0.015862,0.981349
3,4,"0131_[45930,8132]_part_4_-2.jpg","0131,[45930,8132]",DAPI,0.002778,0.063097,0.80164,0.000614,0.029738,0.955995
4,5,"0131_[49577,17995]_part_2_-5.jpg","0131,[49577,17995]",CD8,0.001919,0.050938,0.807614,0.000434,0.024246,0.956979
5,6,"0131_[40968,17689]_part_3_-0.jpg","0131,[40968,17689]",CD4,0.000227,0.015651,0.980994,0.000198,0.014615,0.983728
6,7,"0131_[47748,18478]_part_4_-5.jpg","0131,[47748,18478]",CD8,0.000335,0.019255,0.967275,0.000174,0.013884,0.984839
7,8,"0131_[43076,8951]_part_2_-3.jpg","0131,[43076,8951]",CD3,0.001084,0.035522,0.850774,0.000321,0.01935,0.957733
8,9,"0131_[50072,7868]_part_3_-5.jpg","0131,[50072,7868]",CD8,0.000733,0.028273,0.902026,0.000292,0.017852,0.964223
9,10,"0131_[44467,14410]_part_1_-4.jpg","0131,[44467,14410]",FoxP3,0.000477,0.023085,0.938726,0.000175,0.013973,0.978849
